Zeitstempel: 18.9.2013 11:35:07
Signalquelle: Analysator
Abtastrate: 20000,00 Hz
Modus: TIME


Bemerkung: Frequenzzaehler 4715.023

Zeit in s	Analysatorsignal in V
0,030900	0,004578
0,030950	0,010986
0,031000	0,002441
0,031050	0,012817
0,031100	-0,003662
0,031150	0,014038
0,031200	0,016785
0,031250	-0,001221
0,031300	0,013123
0,031350	-0,011597
0,031400	-0,004883
0,031450	0,006409
0,031500	-0,000610
0,031550	0,005493
0,031600	0,000000
0,031650	-0,003052
0,031700	0,002747
0,031750	-0,007629
0,031800	0,000000
0,031850	-0,002746
0,031900	-0,000610
0,031950	-0,008240
0,032000	-0,011291
0,032050	-0,006409
0,032100	-0,006714
0,032150	-0,016479
0,032200	-0,021667
0,032250	-0,025330
0,032300	-0,027771
0,032350	-0,044556
0,032400	-0,048218
0,032450	-0,062866
0,032500	-0,076599
0,032550	-0,087585
0,032600	-0,093994
0,032650	-0,106201
0,032700	-0,122986
0,032750	-0,129700
0,032800	-0,145874
0,032850	-0,175171
0,032900	-0,193787
0,032950	-0,220947
0,033000	-0,246582
0,033050	-0,267029
0,033100	-0,291443
0,033150	-0,320434
0,033200	-0,346680
0,033250	-0,393371
0,033300	-0,448303
0,033350	-0,490417
0,033400	-0,517273
0,033450	-0,557251
0,033500	-0,600891
0,033550	-0,637207
0,033600	-0,663757
0,033650	-0,694275
0,033700	-0,720520
0,033750	-0,741272
0,033800	-0,746155
0,033850	-0,730286
0,033900	-0,709839
0,033950	-0,676575
0,034000	-0,625305
0,034050	-0,562134
0,034100	-0,494385
0,034150	-0,426636
0,034200	-0,372009
0,034250	-0,325622
0,034300	-0,291748
0,034350	-0,276184
0,034400	-0,255127
0,034450	-0,223999
0,034500	-0,202942
0,034550	-0,171509
0,034600	-0,133057
0,034650	-0,094910
0,034700	-0,071716
0,034750	-0,060425
0,034800	-0,053100
0,034850	-0,044250
0,034900	-0,036316
0,034950	-0,014648
0,035000	-0,009766
0,035050	-0,012817
0,035100	-0,007324
0,035150	0,000916
0,035200	-0,026855
0,035250	-0,021362
0,035300	-0,011902
0,035350	-0,001831
0,035400	0,004273
0,035450	-0,003052
0,035500	-0,011902
0,035550	-0,008240
0,035600	0,003357
0,035650	0,007935
0,035700	0,005188
0,035750	-0,000610
0,035800	-0,002746
0,035850	0,004273
0,035900	0,004883
0,035950	-0,005798
0,036000	0,002441
0,036050	0,007935
0,036100	0,000916
0,036150	-0,013733
0,036200	-0,006409
0,036250	0,001221
0,036300	0,007629
0,036350	-0,009155
0,036400	-0,001831
0,036450	0,003662
0,036500	0,009155
0,036550	0,005798
0,036600	0,003662
0,036650	0,006104
0,036700	-0,003357
0,036750	0,004578
0,036800	-0,007934
0,036850	0,010376
0,036900	0,025635
0,036950	0,002136
0,037000	-0,010376
0,037050	0,006104
0,037100	0,014038
0,037150	0,003052
0,037200	-0,011597
0,037250	0,002441
0,037300	0,010986
0,037350	-0,003052
0,037400	-0,014038
0,037450	0,002441
0,037500	0,019226
0,037550	0,000305
0,037600	-0,014954
0,037650	0,000916
0,037700	0,016480
0,037750	-0,007934
0,037800	-0,007324
0,037850	0,004273
0,037900	0,008850
0,037950	-0,007019
0,038000	-0,007934
0,038050	-0,011902
0,038100	-0,002441
0,038150	0,006714
0,038200	-0,015259
0,038250	-0,009155
0,038300	0,006409
0,038350	-0,002746
0,038400	-0,006409
0,038450	-0,007019
0,038500	-0,003052
0,038550	-0,004883
0,038600	-0,021973
0,038650	-0,019836
0,038700	-0,020447
0,038750	-0,016785
0,038800	-0,020752
0,038850	-0,009766
0,038900	-0,007934
0,038950	-0,014954
0,039000	-0,026245
0,039050	-0,032349
0,039100	-0,019531
0,039150	-0,010681
0,039200	-0,020142
0,039250	-0,027161
0,039300	-0,015869
0,039350	-0,016479
0,039400	-0,025330
0,039450	-0,025635
0,039500	-0,024109
0,039550	-0,035705
0,039600	-0,037537
0,039650	-0,030517
0,039700	-0,029297
0,039750	-0,046081
0,039800	-0,050049
0,039850	-0,066223
0,039900	-0,067139
0,039950	-0,067749
0,040000	-0,084839
0,040050	-0,100708
0,040100	-0,106201
0,040150	-0,116882
