Zeitstempel: 18.9.2013 10:46:31
Signalquelle: Analysator
Abtastrate: 20000,00 Hz
Modus: TIME


Bemerkung: Frequenz 1.3kHz
Amplitude 500mV
Offset +-0mV
mit Einstrahlspule

Zeit in s	Analysatorsignal in V
0,059200	0,177307
0,059250	0,097656
0,059300	0,004273
0,059350	-0,093079
0,059400	-0,175781
0,059450	-0,229797
0,059500	-0,249939
0,059550	-0,227661
0,059600	-0,170288
0,059650	-0,086059
0,059700	0,012817
0,059750	0,106201
0,059800	0,180359
0,059850	0,227356
0,059900	0,231629
0,059950	0,197754
0,060000	0,131226
0,060050	0,040894
0,060100	-0,058288
0,060150	-0,148315
0,060200	-0,213928
0,060250	-0,246887
0,060300	-0,242920
0,060350	-0,196838
0,060400	-0,121155
0,060450	-0,025330
0,060500	0,071106
0,060550	0,155335
0,060600	0,213013
0,060650	0,232544
0,060700	0,214233
0,060750	0,160217
0,060800	0,078735
0,060850	-0,018921
0,060900	-0,114441
0,060950	-0,192871
0,061000	-0,238037
0,061050	-0,247803
0,061100	-0,218201
0,061150	-0,151977
0,061200	-0,064697
0,061250	0,033264
0,061300	0,124512
0,061350	0,195313
0,061400	0,231323
0,061450	0,227966
0,061500	0,187073
0,061550	0,112305
0,061600	0,018616
0,061650	-0,078125
0,061700	-0,164490
0,061750	-0,224914
0,061800	-0,249329
0,061850	-0,232849
0,061900	-0,182495
0,061950	-0,099792
0,062000	-0,003662
0,062050	0,092468
0,062100	0,170288
0,062150	0,221863
0,062200	0,234375
0,062250	0,207214
0,062300	0,143433
0,062350	0,056152
0,062400	-0,042114
0,062450	-0,133667
0,062500	-0,205383
0,062550	-0,244446
0,062600	-0,244751
0,062650	-0,205383
0,062700	-0,133362
0,062750	-0,041504
0,062800	0,055847
0,062850	0,142212
0,062900	0,205383
0,062950	0,232544
0,063000	0,221558
0,063050	0,170593
0,063100	0,091248
0,063150	-0,003967
0,063200	-0,101623
0,063250	-0,181580
0,063300	-0,234985
0,063350	-0,251465
0,063400	-0,224914
0,063450	-0,166016
0,063500	-0,079956
0,063550	0,018005
0,063600	0,111389
0,063650	0,186462
0,063700	0,226441
0,063750	0,229797
0,063800	0,195618
0,063850	0,123901
0,063900	0,034790
0,063950	-0,064087
0,064000	-0,153809
0,064050	-0,216675
0,064100	-0,248108
0,064150	-0,239868
0,064200	-0,190124
0,064250	-0,113830
0,064300	-0,018310
0,064350	0,079041
0,064400	0,160523
0,064450	0,217896
0,064500	0,234985
0,064550	0,213013
0,064600	0,155945
0,064650	0,071411
0,064700	-0,026245
