Zeitstempel: 18.9.2013 14:10:59
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 200s
FM
Frequenz 1500Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,035045	0,216370
0,035106	0,227051
0,035167	0,216980
0,035228	0,213623
0,035289	0,200195
0,035350	0,210571
0,035411	0,204773
0,035472	0,205689
0,035533	0,178833
0,035594	0,212097
0,035655	0,202942
0,035716	0,198059
0,035777	0,197144
0,035838	0,210571
0,035898	0,216370
0,035959	0,189514
0,036020	0,189209
0,036081	0,232239
0,036142	0,194702
0,036203	0,227051
0,036264	0,206299
0,036325	0,207520
0,036386	0,227661
0,036447	0,223999
0,036508	0,226441
0,036569	0,209656
0,036630	0,210571
0,036691	0,212402
0,036752	0,229797
0,036812	0,232239
0,036873	0,231629
0,036934	0,220337
0,036995	0,247803
0,037056	0,225525
0,037117	0,226135
0,037178	0,225220
0,037239	0,261841
0,037300	0,249329
0,037361	0,242920
0,037422	0,245361
0,037483	0,245056
0,037544	0,239258
0,037605	0,247192
0,037666	0,244141
0,037727	0,244751
0,037788	0,237427
0,037848	0,251160
0,037909	0,242004
0,037970	0,240784
0,038031	0,235596
0,038092	0,243836
0,038153	0,256653
0,038214	0,250244
0,038275	0,250855
0,038336	0,262451
0,038397	0,245667
0,038458	0,263977
0,038519	0,261536
0,038580	0,269165
0,038641	0,252991
0,038702	0,278320
0,038763	0,291748
0,038823	0,291443
0,038884	0,296326
0,038945	0,241089
0,039006	0,283203
0,039067	0,296631
0,039128	0,293884
0,039189	0,273438
0,039250	0,285034
0,039311	0,300903
0,039372	0,301514
0,039433	0,285645
0,039494	0,310974
0,039555	0,282288
0,039616	0,267029
0,039677	0,268250
0,039738	0,301209
0,039798	0,325317
0,039859	0,260010
0,039920	0,260925
0,039981	0,286255
0,040042	0,307007
0,040103	0,263672
0,040164	0,286560
0,040225	0,289002
0,040286	0,307922
0,040347	0,293274
0,040408	0,328980
0,040469	0,330505
0,040530	0,282593
0,040591	0,310059
0,040652	0,314941
0,040712	0,314026
0,040773	0,316162
0,040834	0,317078
0,040895	0,342407
0,040956	0,357056
0,041017	0,313416
0,041078	0,312195
0,041139	0,315857
0,041200	0,322571
0,041261	0,322571
0,041322	0,321655
0,041383	0,301819
0,041444	0,319519
0,041505	0,308533
0,041566	0,311585
0,041627	0,317078
0,041687	0,302124
0,041748	0,338135
0,041809	0,314941
0,041870	0,318298
0,041931	0,325012
0,041992	0,348816
0,042053	0,307617
0,042114	0,325623
0,042175	0,326538
0,042236	0,318298
0,042297	0,303955
0,042358	0,291443
0,042419	0,292358
0,042480	0,314026
0,042541	0,327759
0,042602	0,339050
0,042663	0,344849
0,042723	0,342102
0,042784	0,334778
0,042845	0,312195
0,042906	0,303040
0,042967	0,303040
0,043028	0,332337
0,043089	0,308228
0,043150	0,313721
0,043211	0,347595
0,043272	0,345459
0,043333	0,344544
0,043394	0,310059
0,043455	0,320435
0,043516	0,343018
0,043577	0,340271
0,043638	0,317688
0,043698	0,321961
0,043759	0,325623
0,043820	0,328674
0,043881	0,332947
0,043942	0,299683
0,044003	0,314331
0,044064	0,339050
0,044125	0,339661
0,044186	0,348206
0,044247	0,364685
0,044308	0,326233
0,044369	0,329285
0,044430	0,331421
0,044491	0,317383
0,044552	0,335999
0,044612	0,337525
0,044673	0,337525
0,044734	0,338135
0,044795	0,339050
0,044856	0,351257
0,044917	0,352783
0,044978	0,336609
0,045039	0,347290
0,045100	0,328674
0,045161	0,321350
0,045222	0,321961
0,045283	0,331116
0,045344	0,344849
0,045405	0,312805
0,045466	0,327454
0,045527	0,325317
0,045587	0,338745
0,045648	0,349426
0,045709	0,364075
0,045770	0,366821
