Zeitstempel: 18.9.2013 14:22:32
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,034070	0,229492
0,034131	0,249024
0,034192	0,249024
0,034253	0,231934
0,034314	0,268860
0,034375	0,268555
0,034436	0,270386
0,034497	0,235901
0,034558	0,235291
0,034619	0,259400
0,034680	0,277405
0,034741	0,281677
0,034802	0,264282
0,034863	0,296936
0,034923	0,271912
0,034984	0,224304
0,035045	0,245972
0,035106	0,247803
0,035167	0,241699
0,035228	0,291138
0,035289	0,293274
0,035350	0,256958
0,035411	0,285950
0,035472	0,280457
0,035533	0,274658
0,035594	0,274353
0,035655	0,294495
0,035716	0,276184
0,035777	0,299988
0,035838	0,297852
0,035898	0,314941
0,035959	0,285034
0,036020	0,300293
0,036081	0,278015
0,036142	0,279541
0,036203	0,345764
0,036264	0,296326
0,036325	0,291748
0,036386	0,294800
0,036447	0,289917
0,036508	0,305176
0,036569	0,314941
0,036630	0,314331
0,036691	0,314636
0,036752	0,296631
0,036812	0,348511
0,036873	0,288391
0,036934	0,299988
0,036995	0,298157
0,037056	0,310364
0,037117	0,300598
0,037178	0,316162
0,037239	0,317078
0,037300	0,330200
0,037361	0,308228
0,037422	0,352783
0,037483	0,357666
0,037544	0,356445
0,037605	0,335388
0,037666	0,293884
0,037727	0,329590
0,037788	0,330811
0,037848	0,292053
0,037909	0,335083
0,037970	0,327759
0,038031	0,303040
0,038092	0,299988
0,038153	0,331421
0,038214	0,348511
0,038275	0,314331
0,038336	0,315247
0,038397	0,326233
0,038458	0,353394
0,038519	0,392151
0,038580	0,367432
0,038641	0,365601
0,038702	0,344849
0,038763	0,361328
0,038823	0,332031
0,038884	0,332947
0,038945	0,369568
0,039006	0,362854
0,039067	0,326538
0,039128	0,353394
0,039189	0,355530
0,039250	0,354920
0,039311	0,355530
0,039372	0,360718
0,039433	0,351257
0,039494	0,350647
0,039555	0,386047
0,039616	0,379028
0,039677	0,378418
0,039738	0,379028
0,039798	0,348206
0,039859	0,361633
0,039920	0,366821
0,039981	0,355225
0,040042	0,355835
0,040103	0,348206
0,040164	0,393982
0,040225	0,393677
0,040286	0,393677
0,040347	0,373230
0,040408	0,392761
0,040469	0,373535
0,040530	0,384827
0,040591	0,384827
0,040652	0,370483
0,040712	0,388794
0,040773	0,359802
0,040834	0,330811
0,040895	0,377503
0,040956	0,367737
0,041017	0,364990
0,041078	0,372925
0,041139	0,372315
0,041200	0,369568
0,041261	0,395508
0,041322	0,375061
0,041383	0,375671
0,041444	0,372315
0,041505	0,401306
0,041566	0,411987
0,041627	0,369873
0,041687	0,371704
0,041748	0,354614
0,041809	0,404358
0,041870	0,379334
0,041931	0,364075
0,041992	0,364685
0,042053	0,424194
0,042114	0,406189
0,042175	0,382691
0,042236	0,382385
0,042297	0,380249
0,042358	0,376587
0,042419	0,402527
0,042480	0,398560
0,042541	0,399780
0,042602	0,398865
0,042663	0,424805
0,042723	0,425415
0,042784	0,425720
0,042845	0,383301
0,042906	0,379334
0,042967	0,360108
0,043028	0,371399
0,043089	0,372315
0,043150	0,389099
0,043211	0,422974
0,043272	0,423279
0,043333	0,423279
0,043394	0,393372
0,043455	0,433045
0,043516	0,388794
0,043577	0,439453
0,043638	0,442505
0,043698	0,395813
0,043759	0,405579
0,043820	0,362244
0,043881	0,391541
0,043942	0,418091
0,044003	0,420227
0,044064	0,407105
0,044125	0,451050
0,044186	0,451355
0,044247	0,401306
0,044308	0,377503
0,044369	0,388184
0,044430	0,381165
0,044491	0,381470
0,044552	0,401917
0,044612	0,396118
0,044673	0,412598
0,044734	0,415955
0,044795	0,414124
0,044856	0,358582
0,044917	0,364075
0,044978	0,401917
0,045039	0,403137
0,045100	0,383911
0,045161	0,380249
0,045222	0,369263
0,045283	0,379334
0,045344	0,379334
0,045405	0,365296
0,045466	0,395508
0,045527	0,400391
0,045587	0,400696
0,045648	0,410156
0,045709	0,430908
0,045770	0,440064
0,045831	0,396118
0,045892	0,396729
0,045953	0,360108
0,046014	0,443726
0,046075	0,393372
0,046136	0,393066
0,046197	0,418091
0,046258	0,388184
0,046319	0,406494
0,046380	0,375061
0,046441	0,371399
0,046502	0,361328
0,046562	0,392456
0,046623	0,393066
0,046684	0,390625
0,046745	0,420532
0,046806	0,386047
0,046867	0,365601
0,046928	0,426941
0,046989	0,426941
0,047050	0,404358
0,047111	0,430298
0,047172	0,383301
0,047233	0,385132
0,047294	0,412903
0,047355	0,414734
0,047416	0,397644
0,047477	0,403442
0,047538	0,402832
0,047598	0,422974
0,047659	0,373840
0,047720	0,411682
0,047781	0,413513
0,047842	0,397644
0,047903	0,419312
0,047964	0,410462
0,048025	0,372009
0,048086	0,372925
0,048147	0,415955
0,048208	0,398560
0,048269	0,340271
0,048330	0,390015
0,048391	0,390015
0,048452	0,420837
0,048513	0,372315
0,048573	0,354614
0,048634	0,355225
0,048695	0,384827
0,048756	0,367737
0,048817	0,450134
0,048878	0,413818
0,048939	0,415344
0,049000	0,402527
0,049061	0,399780
0,049122	0,346375
0,049183	0,346069
0,049244	0,412598
0,049305	0,375977
0,049366	0,354309
0,049427	0,396423
0,049488	0,396729
0,049548	0,365601
0,049609	0,404968
0,049670	0,394592
0,049731	0,395203
0,049792	0,392456
0,049853	0,397034
0,049914	0,360413
0,049975	0,382080
0,050036	0,384216
0,050097	0,381470
0,050158	0,393372
0,050219	0,405884
0,050280	0,383911
0,050341	0,384522
0,050402	0,411987
0,050463	0,366211
0,050523	0,378418
0,050584	0,378418
0,050645	0,337219
0,050706	0,363770
0,050767	0,371094
0,050828	0,377197
0,050889	0,377808
0,050950	0,392761
0,051011	0,366516
0,051072	0,372315
0,051133	0,374756
0,051194	0,323486
0,051255	0,306702
0,051316	0,368347
0,051377	0,359497
0,051438	0,359802
0,051498	0,379639
0,051559	0,370789
0,051620	0,342407
0,051681	0,382385
0,051742	0,379639
0,051803	0,335388
0,051864	0,321045
0,051925	0,349732
0,051986	0,350952
0,052047	0,370178
0,052108	0,320129
0,052169	0,351868
0,052230	0,317993
0,052291	0,319214
0,052352	0,406189
0,052413	0,348206
0,052473	0,334168
0,052534	0,335083
0,052595	0,337219
0,052656	0,329895
0,052717	0,356751
0,052778	0,307312
0,052839	0,308533
0,052900	0,329285
0,052961	0,323181
0,053022	0,333557
0,053083	0,335999
0,053144	0,318909
0,053205	0,293884
0,053266	0,326538
0,053327	0,302429
0,053387	0,303955
0,053448	0,303345
0,053509	0,284119
0,053570	0,302734
0,053631	0,300293
0,053692	0,299683
0,053753	0,298767
0,053814	0,329285
0,053875	0,323181
0,053936	0,322571
0,053997	0,324402
0,054058	0,308228
0,054119	0,314636
0,054180	0,314941
0,054241	0,315857
0,054302	0,220642
0,054363	0,332642
0,054423	0,302124
0,054484	0,302124
0,054545	0,314026
0,054606	0,292969
0,054667	0,299988
0,054728	0,294190
0,054789	0,294190
0,054850	0,275269
0,054911	0,310669
0,054972	0,326233
0,055033	0,326843
0,055094	0,265198
0,055155	0,313416
0,055216	0,289002
0,055277	0,334168
0,055338	0,334168
0,055398	0,309143
0,055459	0,293274
0,055520	0,277405
0,055581	0,294190
0,055642	0,291443
0,055703	0,293274
0,055764	0,271301
0,055825	0,283814
0,055886	0,283203
0,055947	0,269775
0,056008	0,249634
0,056069	0,267639
0,056130	0,245972
0,056191	0,247498
0,056252	0,257263
0,056313	0,217285
0,056373	0,248108
0,056434	0,248413
0,056495	0,227356
0,056556	0,274658
0,056617	0,258484
0,056678	0,258484
0,056739	0,258179
0,056800	0,219421
0,056861	0,270996
0,056922	0,224609
0,056983	0,224609
0,057044	0,259400
0,057105	0,211182
0,057166	0,255127
0,057227	0,255737
0,057287	0,256653
0,057348	0,252380
0,057409	0,223694
0,057470	0,311585
0,057531	0,235901
0,057592	0,233460
0,057653	0,248718
0,057714	0,252075
0,057775	0,272827
0,057836	0,274048
0,057897	0,218201
0,057958	0,193787
0,058019	0,226135
0,058080	0,227356
0,058141	0,226746
0,058202	0,207825
0,058263	0,185547
0,058323	0,187988
0,058384	0,187683
0,058445	0,199585
0,058506	0,187988
0,058567	0,234070
0,058628	0,216065
0,058689	0,217590
0,058750	0,207214
0,058811	0,200806
0,058872	0,180664
0,058933	0,182800
0,058994	0,221863
0,059055	0,202942
0,059116	0,193482
0,059177	0,243530
0,059238	0,244141
0,059298	0,195313
0,059359	0,162048
0,059420	0,207825
0,059481	0,168152
0,059542	0,187073
0,059603	0,179749
0,059664	0,219727
0,059725	0,193176
0,059786	0,190735
0,059847	0,164795
0,059908	0,180359
0,059969	0,125733
0,060030	0,169678
0,060091	0,168152
0,060152	0,195618
0,060213	0,175781
0,060273	0,141602
0,060334	0,142517
0,060395	0,149536
0,060456	0,165405
0,060517	0,157471
0,060578	0,158081
0,060639	0,165100
0,060700	0,180054
0,060761	0,144348
0,060822	0,137940
0,060883	0,138550
0,060944	0,115662
0,061005	0,179443
0,061066	0,149536
0,061127	0,149231
0,061187	0,149536
0,061248	0,161133
0,061309	0,115662
0,061370	0,171814
0,061431	0,172730
0,061492	0,144959
0,061553	0,154114
0,061614	0,114136
0,061675	0,103760
0,061736	0,104675
0,061797	0,104675
0,061858	0,087891
0,061919	0,147095
0,061980	0,070801
0,062041	0,069275
0,062102	0,128479
0,062162	0,111389
0,062223	0,090942
0,062284	0,090332
0,062345	0,126953
0,062406	0,068054
0,062467	0,077515
0,062528	0,083923
0,062589	0,084839
0,062650	0,089417
0,062711	0,082703
0,062772	0,103455
0,062833	0,101929
0,062894	0,154114
0,062955	0,080566
0,063016	0,113220
0,063077	0,070496
0,063137	0,071106
0,063198	0,076294
0,063259	0,050659
0,063320	0,036926
0,063381	0,038147
0,063442	0,028076
0,063503	0,058899
0,063564	0,053406
0,063625	0,017700
0,063686	0,018311
0,063747	0,045166
0,063808	0,086670
0,063869	0,036316
0,063930	0,061340
0,063991	0,059815
0,064052	0,047608
0,064113	0,057068
0,064173	0,045166
0,064234	0,046082
0,064295	0,080261
0,064356	0,033264
0,064417	0,025635
0,064478	0,049744
0,064539	0,049439
0,064600	0,033264
0,064661	0,066834
0,064722	0,051880
0,064783	0,050354
0,064844	0,037537
0,064905	0,010376
0,064966	0,075379
0,065027	0,029907
0,065087	0,031128
