Zeitstempel: 18.9.2013 14:17:56
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1510Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,035959	-0,027161
0,036020	-0,009460
0,036081	-0,031433
0,036142	-0,018921
0,036203	-0,039368
0,036264	-0,039673
0,036325	-0,065613
0,036386	-0,018005
0,036447	-0,033569
0,036508	-0,031738
0,036569	-0,028076
0,036630	-0,066833
0,036691	-0,014343
0,036752	-0,050964
0,036812	-0,050659
0,036873	-0,021362
0,036934	-0,051269
0,036995	-0,048218
0,037056	-0,045471
0,037117	-0,028686
0,037178	-0,028076
0,037239	-0,002136
0,037300	-0,012207
0,037361	-0,013428
0,037422	-0,013122
0,037483	-0,025024
0,037544	-0,055847
0,037605	-0,046997
0,037666	-0,048523
0,037727	-0,022278
0,037788	-0,028076
0,037848	-0,038757
0,037909	-0,039062
0,037970	-0,014038
0,038031	-0,045471
0,038092	0,012207
0,038153	-0,024414
0,038214	-0,023804
0,038275	-0,005493
0,038336	-0,022583
0,038397	-0,024109
0,038458	-0,021667
0,038519	-0,012207
0,038580	-0,037842
0,038641	-0,018616
0,038702	-0,026245
0,038763	-0,026855
0,038823	-0,026550
0,038884	-0,030212
0,038945	-0,014343
0,039006	-0,039062
0,039067	-0,042114
0,039128	-0,010376
0,039189	-0,046081
0,039250	-0,008850
0,039311	-0,008240
0,039372	-0,014648
0,039433	-0,007629
0,039494	-0,017090
0,039555	-0,009460
0,039616	-0,007629
0,039677	-0,018616
0,039738	-0,010376
0,039798	-0,045776
0,039859	-0,046387
0,039920	-0,024719
0,039981	0,000916
0,040042	0,011902
0,040103	0,007019
0,040164	0,008850
0,040225	0,003052
0,040286	-0,016174
0,040347	0,004883
0,040408	0,004273
0,040469	-0,040893
0,040530	-0,035095
0,040591	0,020447
0,040652	0,018921
0,040712	0,017090
0,040773	0,003662
0,040834	0,013733
0,040895	0,016480
0,040956	0,017090
0,041017	-0,006103
0,041078	0,028381
0,041139	0,002136
0,041200	0,014649
0,041261	0,015869
0,041322	0,020447
0,041383	0,007324
0,041444	0,003967
0,041505	-0,017090
0,041566	-0,018921
0,041627	0,010376
0,041687	0,036621
0,041748	-0,005798
0,041809	-0,004883
0,041870	-0,015869
0,041931	0,026550
0,041992	0,000610
0,042053	0,041809
0,042114	0,042420
0,042175	0,022888
0,042236	0,020142
0,042297	0,039978
0,042358	0,037537
0,042419	0,030823
0,042480	-0,020142
0,042541	0,031128
0,042602	-0,029297
0,042663	-0,032043
0,042723	-0,000915
0,042784	0,014954
0,042845	-0,014954
0,042906	-0,013122
0,042967	-0,006103
0,043028	-0,007019
0,043089	-0,002136
0,043150	0,007019
0,043211	0,006714
0,043272	0,005493
0,043333	0,008850
0,043394	0,014649
0,043455	-0,007019
0,043516	0,018921
0,043577	0,002747
0,043638	0,040894
0,043698	0,013733
0,043759	0,012817
0,043820	0,001831
0,043881	0,007324
0,043942	-0,020447
0,044003	-0,022583
0,044064	-0,022888
0,044125	0,005798
0,044186	0,020447
0,044247	0,017090
0,044308	0,018311
0,044369	0,005188
0,044430	0,010681
0,044491	0,002747
0,044552	-0,000915
0,044612	-0,000915
0,044673	0,025940
0,044734	-0,032654
0,044795	-0,003357
0,044856	-0,001221
0,044917	-0,002136
0,044978	0,015259
0,045039	0,048523
0,045100	0,001526
0,045161	0,002136
0,045222	0,005188
0,045283	0,007629
0,045344	0,005188
0,045405	0,005493
0,045466	0,032654
0,045527	0,022278
0,045587	-0,012512
0,045648	0,026856
0,045709	0,026550
0,045770	0,011902
0,045831	0,019837
0,045892	0,028992
0,045953	0,019837
0,046014	0,017395
0,046075	0,029907
0,046136	0,008850
0,046197	-0,010376
0,046258	-0,008850
0,046319	0,040894
0,046380	-0,014648
0,046441	0,027161
0,046502	0,011597
0,046562	0,012512
0,046623	-0,004883
0,046684	0,027771
0,046745	0,002747
0,046806	0,004578
0,046867	0,017700
0,046928	-0,013428
0,046989	0,005493
0,047050	0,005493
0,047111	0,006104
0,047172	0,007019
0,047233	0,001831
0,047294	-0,005493
0,047355	-0,001526
0,047416	0,007019
0,047477	0,022583
0,047538	0,010071
0,047598	0,012207
0,047659	0,013123
0,047720	0,012817
0,047781	0,023193
0,047842	0,012512
