Zeitstempel: 18.9.2013 11:37:11
Signalquelle: Analysator
Abtastrate: 20000.00 Hz
Modus: TIME


Bemerkung: Frequenzzaehler 4717.478

Zeit in s	Analysatorsignal in V
0.025450	0.021668
0.025500	0.037842
0.025550	0.035095
0.025600	0.026550
0.025650	0.031738
0.025700	0.044556
0.025750	0.042725
0.025800	0.035400
0.025850	0.018311
0.025900	0.026550
0.025950	0.037232
0.026000	0.035706
0.026050	0.032959
0.026100	0.039673
0.026150	0.033264
0.026200	0.023499
0.026250	0.024719
0.026300	0.027161
0.026350	0.034485
0.026400	0.034790
0.026450	0.033264
0.026500	0.032959
0.026550	0.034180
0.026600	0.041809
0.026650	0.028076
0.026700	0.026856
0.026750	0.022583
0.026800	0.043640
0.026850	0.035706
0.026900	0.028687
0.026950	0.032654
0.027000	0.028992
0.027050	0.038147
0.027100	0.034485
0.027150	0.025940
0.027200	0.029907
0.027250	0.049133
0.027300	0.045471
0.027350	0.042114
0.027400	0.034485
0.027450	0.028381
0.027500	0.025940
0.027550	0.032044
0.027600	0.025940
0.027650	0.001526
0.027700	0.053711
0.027750	0.038757
0.027800	0.016174
0.027850	0.026245
0.027900	0.031738
0.027950	0.026550
0.028000	0.025940
0.028050	0.025025
0.028100	0.038452
0.028150	0.028076
0.028200	0.015869
0.028250	0.021973
0.028300	0.032959
0.028350	0.021973
0.028400	0.013733
0.028450	0.029907
0.028500	0.033875
0.028550	0.016480
0.028600	0.018921
0.028650	0.025635
0.028700	0.018616
0.028750	0.021362
0.028800	0.025330
0.028850	0.027466
0.028900	0.037232
0.028950	0.031738
0.029000	0.029907
0.029050	0.022888
0.029100	0.021362
0.029150	0.018616
0.029200	0.018921
0.029250	0.031128
0.029300	0.035400
0.029350	0.022278
0.029400	0.022583
0.029450	0.025330
0.029500	0.027771
0.029550	0.007935
0.029600	0.017090
0.029650	0.033264
0.029700	0.013428
0.029750	0.014649
0.029800	0.022583
0.029850	0.016785
0.029900	0.014649
0.029950	0.014038
0.030000	0.006714
0.030050	0.013428
0.030100	0.024414
0.030150	0.024719
0.030200	0.020752
0.030250	0.020752
0.030300	0.012207
0.030350	0.010681
0.030400	0.017700
0.030450	0.016480
0.030500	0.010376
0.030550	0.026245
0.030600	0.015869
0.030650	0.009155
0.030700	0.015869
0.030750	0.011597
0.030800	0.017395
0.030850	0.018921
0.030900	0.020142
0.030950	0.015564
0.031000	0.008240
0.031050	0.016174
0.031100	0.014954
0.031150	0.009461
0.031200	0.003052
0.031250	0.008240
0.031300	0.008545
0.031350	-0.004578
0.031400	-0.005188
0.031450	0.007019
0.031500	0.005798
0.031550	0.004273
0.031600	0.007019
0.031650	0.010986
0.031700	0.002136
0.031750	0.010376
0.031800	0.008850
0.031850	0.010681
0.031900	0.004883
0.031950	0.002136
0.032000	0.007629
0.032050	0.000305
0.032100	0.008240
0.032150	0.002441
0.032200	-0.000915
0.032250	-0.003967
0.032300	0.000305
0.032350	-0.007324
0.032400	-0.010376
0.032450	-0.007019
0.032500	-0.001831
0.032550	-0.012512
0.032600	-0.017395
0.032650	-0.017395
0.032700	-0.018616
0.032750	-0.022583
0.032800	-0.025330
0.032850	-0.026245
0.032900	-0.040588
0.032950	-0.043335
0.033000	-0.046081
0.033050	-0.049438
0.033100	-0.061035
0.033150	-0.060425
0.033200	-0.062866
0.033250	-0.073852
0.033300	-0.085754
0.033350	-0.101318
0.033400	-0.107117
0.033450	-0.118713
0.033500	-0.145264
0.033550	-0.168457
0.033600	-0.195923
0.033650	-0.218506
0.033700	-0.243835
0.033750	-0.281677
0.033800	-0.317993
0.033850	-0.360107
0.033900	-0.389709
0.033950	-0.415649
0.034000	-0.447082
0.034050	-0.476379
0.034100	-0.501709
0.034150	-0.546265
0.034200	-0.579529
0.034250	-0.597839
0.034300	-0.610046
0.034350	-0.633545
0.034400	-0.651550
0.034450	-0.664368
0.034500	-0.678406
0.034550	-0.684814
0.034600	-0.690613
0.034650	-0.690918
0.034700	-0.696716
0.034750	-0.680847
0.034800	-0.667725
0.034850	-0.653381
0.034900	-0.633545
0.034950	-0.611267
0.035000	-0.580749
0.035050	-0.546265
0.035100	-0.507202
0.035150	-0.469360
0.035200	-0.431213
0.035250	-0.388794
0.035300	-0.364990
0.035350	-0.332947
0.035400	-0.297851
0.035450	-0.279236
0.035500	-0.262756
0.035550	-0.260315
0.035600	-0.250854
0.035650	-0.232849
0.035700	-0.220947
0.035750	-0.203857
0.035800	-0.191955
0.035850	-0.176392
0.035900	-0.142822
0.035950	-0.116577
0.036000	-0.097351
0.036050	-0.081787
0.036100	-0.066223
0.036150	-0.050659
0.036200	-0.034790
0.036250	-0.038757
0.036300	-0.046387
0.036350	-0.055237
0.036400	-0.047607
0.036450	-0.034180
0.036500	-0.033569
0.036550	-0.035095
0.036600	-0.020447
0.036650	-0.016785
0.036700	-0.017090
0.036750	-0.017395
0.036800	-0.014648
0.036850	-0.025330
0.036900	-0.025330
0.036950	-0.021973
0.037000	-0.025635
0.037050	-0.041199
0.037100	-0.054016
0.037150	-0.059814
0.037200	-0.054321
0.037250	-0.064087
0.037300	-0.076599
0.037350	-0.076904
0.037400	-0.091553
0.037450	-0.098267
0.037500	-0.119324
0.037550	-0.130310
0.037600	-0.122681
0.037650	-0.111999
0.037700	-0.127258
0.037750	-0.147400
0.037800	-0.162353
0.037850	-0.167236
0.037900	-0.177307
0.037950	-0.200195
0.038000	-0.211792
0.038050	-0.213928
0.038100	-0.228882
0.038150	-0.250854
0.038200	-0.279541
0.038250	-0.300598
0.038300	-0.294800
0.038350	-0.296936
0.038400	-0.305176
0.038450	-0.318603
0.038500	-0.318603
0.038550	-0.305176
0.038600	-0.300903
0.038650	-0.307312
0.038700	-0.310364
0.038750	-0.301514
0.038800	-0.281677
0.038850	-0.257263
0.038900	-0.225220
0.038950	-0.184936
0.039000	-0.138855
0.039050	-0.094299
0.039100	-0.053406
0.039150	0.006409
0.039200	0.015564
0.039250	0.022278
0.039300	0.028381
0.039350	0.020752
0.039400	0.037232
0.039450	0.029602
0.039500	0.023193
0.039550	0.008850
0.039600	0.003967
0.039650	0.016174
0.039700	0.034485
0.039750	0.028992
0.039800	0.038757
0.039850	0.035400
0.039900	0.030518
0.039950	0.018921
0.040000	0.020142
0.040050	0.032349
0.040100	0.039673
0.040150	0.043335
0.040200	0.043945
0.040250	0.040894
0.040300	0.035706
0.040350	0.031738
0.040400	0.041504
0.040450	0.057373
0.040500	0.058289
0.040550	0.054321
0.040600	0.053406
0.040650	0.046387
0.040700	0.038147
0.040750	0.046387
0.040800	0.047913
0.040850	0.052185
0.040900	0.042114
0.040950	0.052185
0.041000	0.057678
0.041050	0.050659
0.041100	0.042420
0.041150	0.035400
0.041200	0.039368
0.041250	0.043030
0.041300	0.043640
0.041350	0.049439
0.041400	0.055542
0.041450	0.044861
0.041500	0.037232
0.041550	0.045166
0.041600	0.032654
0.041650	0.030518
0.041700	0.044861
0.041750	0.036621
0.041800	0.041199
0.041850	0.058289
0.041900	0.045471
0.041950	0.030212
0.042000	0.037537
0.042050	0.044556
0.042100	0.042114
0.042150	0.034180
0.042200	0.046082
0.042250	0.047608
0.042300	0.038757
0.042350	0.034790
0.042400	0.032654
0.042450	0.043640
0.042500	0.056152
0.042550	0.034180
0.042600	0.034485
0.042650	0.053711
0.042700	0.046692
0.042750	0.032349
0.042800	0.029602
0.042850	0.030823
0.042900	0.041809
0.042950	0.051880
0.043000	0.035095
0.043050	0.037537
0.043100	0.033569
0.043150	0.028687
0.043200	0.030212
0.043250	0.032959
0.043300	0.039063
0.043350	0.041809
0.043400	0.021362
0.043450	0.030823
0.043500	0.026856
0.043550	0.022583
0.043600	0.034485
0.043650	0.025025
0.043700	0.030212
0.043750	0.039673
0.043800	0.054321
0.043850	0.032654
0.043900	0.027466
0.043950	0.022888
0.044000	0.031128
0.044050	0.036011
0.044100	0.040894
0.044150	0.042114
0.044200	0.038452
0.044250	0.028687
0.044300	0.023193
0.044350	0.018311
0.044400	0.025635
0.044450	0.032349
0.044500	0.035095
0.044550	0.026856
0.044600	0.037537
0.044650	0.039673
0.044700	0.028687
0.044750	0.018311
0.044800	0.019531
0.044850	0.035095
0.044900	0.037842
0.044950	0.035706
0.045000	0.034485
0.045050	0.032044
0.045100	0.035706
0.045150	0.038452
0.045200	0.028076
0.045250	0.030518
0.045300	0.029602
0.045350	0.027771
0.045400	0.039368
0.045450	0.040894
0.045500	0.027466
0.045550	0.034790
0.045600	0.028076
0.045650	0.034790
0.045700	0.035706
0.045750	0.032349
0.045800	0.037232
0.045850	0.033875
0.045900	0.042725
0.045950	0.030823
0.046000	0.035095
0.046050	0.033264
0.046100	0.036621
0.046150	0.032959
0.046200	0.031738
0.046250	0.031433
0.046300	0.032959
0.046350	0.043030
0.046400	0.028076
0.046450	0.030823
0.046500	0.032654
0.046550	0.039673
0.046600	0.036011
0.046650	0.023193
0.046700	0.029602
0.046750	0.044251
0.046800	0.033569
0.046850	0.028076
0.046900	0.027161
0.046950	0.032044
0.047000	0.045471
0.047050	0.044556
0.047100	0.024719
0.047150	0.025940
0.047200	0.036926
0.047250	0.048523
0.047300	0.039978
0.047350	0.031128
0.047400	0.042114
0.047450	0.039978
0.047500	0.034485
0.047550	0.025940
0.047600	0.023499
0.047650	0.043030
0.047700	0.031128
0.047750	0.026856
0.047800	0.033875
0.047850	0.027466
0.047900	0.029297
0.047950	0.021668
0.048000	0.030823
0.048050	0.027771
0.048100	0.030823
0.048150	0.020447
0.048200	0.030518
0.048250	0.036621
0.048300	0.029297
0.048350	0.021973
0.048400	0.020752
0.048450	0.033569
0.048500	0.022278
0.048550	0.022888
0.048600	0.031738
0.048650	0.034180
0.048700	0.024414
0.048750	0.023193
0.048800	0.021668
0.048850	0.028381
0.048900	0.028992
0.048950	0.026856
0.049000	0.032654
0.049050	0.019837
0.049100	0.026856
0.049150	0.009155
0.049200	0.016174
0.049250	0.036316
0.049300	0.025940
0.049350	0.024719
0.049400	0.015869
0.049450	0.019531
0.049500	0.030212
0.049550	0.025940
0.049600	0.010376
0.049650	0.010071
0.049700	0.028076
0.049750	0.020752
0.049800	0.015869
0.049850	0.015869
0.049900	0.016480
0.049950	0.023804
0.050000	0.017700
0.050050	0.013428
0.050100	0.013428
0.050150	0.022888
0.050200	0.023499
0.050250	0.021668
0.050300	0.025025
0.050350	0.016785
0.050400	0.016174
0.050450	0.015869
0.050500	0.021362
0.050550	0.015259
0.050600	0.009155
0.050650	0.020752
0.050700	0.021668
0.050750	0.009766
0.050800	0.010071
0.050850	0.020447
0.050900	0.012512
0.050950	0.018921
0.051000	0.019837
0.051050	0.018921
0.051100	0.003967
0.051150	0.018921
0.051200	0.015564
0.051250	0.008240
0.051300	0.009155
0.051350	0.019226
0.051400	0.001831
0.051450	0.005493
0.051500	0.013428
0.051550	-0.002441
0.051600	0.010986
0.051650	-0.007934
0.051700	0.014343
0.051750	0.014038
0.051800	0.003662
0.051850	0.009766
0.051900	0.000916
0.051950	0.010071
0.052000	0.000305
0.052050	0.002747
0.052100	0.000000
0.052150	0.003967
0.052200	0.005188
0.052250	0.001831
0.052300	-0.003052
0.052350	-0.003052
0.052400	0.002441
0.052450	-0.014954
0.052500	-0.019226
0.052550	-0.008240
0.052600	-0.012512
0.052650	-0.023498
0.052700	-0.018921
0.052750	-0.017090
0.052800	-0.021057
0.052850	-0.021667
0.052900	-0.036316
0.052950	-0.039978
0.053000	-0.041809
0.053050	-0.052490
0.053100	-0.066528
0.053150	-0.085144
0.053200	-0.106506
0.053250	-0.112305
0.053300	-0.128784
0.053350	-0.136108
0.053400	-0.157776
0.053450	-0.173035
0.053500	-0.193176
0.053550	-0.216980
0.053600	-0.241394
0.053650	-0.267639
0.053700	-0.289612
0.053750	-0.314941
0.053800	-0.344849
0.053850	-0.370178
0.053900	-0.401611
0.053950	-0.432434
0.054000	-0.461426
0.054050	-0.486145
0.054100	-0.513611
0.054150	-0.543518
0.054200	-0.556030
0.054250	-0.574341
0.054300	-0.605469
0.054350	-0.636291
0.054400	-0.652771
0.054450	-0.674438
0.054500	-0.693359
0.054550	-0.714722
0.054600	-0.725098
0.054650	-0.720520
0.054700	-0.716247
0.054750	-0.711365
0.054800	-0.694275
0.054850	-0.675659
0.054900	-0.645447
0.054950	-0.621643
0.055000	-0.578003
0.055050	-0.540466
0.055100	-0.487060
0.055150	-0.441284
0.055200	-0.405273
0.055250	-0.369873
0.055300	-0.349426
0.055350	-0.322266
0.055400	-0.288696
0.055450	-0.274048
0.055500	-0.263672
0.055550	-0.254517
0.055600	-0.239868
0.055650	-0.240173
0.055700	-0.225220
0.055750	-0.218811
0.055800	-0.203247
0.055850	-0.181885
0.055900	-0.161743
0.055950	-0.133057
0.056000	-0.102539
0.056050	-0.075378
0.056100	-0.049744
0.056150	-0.030823
0.056200	-0.031433
0.056250	-0.028076
0.056300	-0.025330
0.056350	-0.030517
0.056400	-0.030212
0.056450	-0.036621
0.056500	-0.036316
0.056550	-0.038757
0.056600	-0.040893
0.056650	-0.041199
0.056700	-0.030517
0.056750	-0.025635
0.056800	-0.015869
0.056850	-0.022583
0.056900	-0.024719
0.056950	-0.022278
0.057000	-0.027771
0.057050	-0.036011
0.057100	-0.042725
0.057150	-0.041199
0.057200	-0.057983
0.057250	-0.063782
0.057300	-0.071716
0.057350	-0.082092
0.057400	-0.089722
0.057450	-0.106811
0.057500	-0.133972
0.057550	-0.144043
0.057600	-0.145264
0.057650	-0.162659
0.057700	-0.162964
0.057750	-0.170898
0.057800	-0.183105
0.057850	-0.191955
0.057900	-0.207519
0.057950	-0.219116
0.058000	-0.237732
0.058050	-0.252685
0.058100	-0.267334
0.058150	-0.277100
0.058200	-0.286560
0.058250	-0.292969
0.058300	-0.285339
0.058350	-0.287476
0.058400	-0.296631
0.058450	-0.294189
0.058500	-0.301819
0.058550	-0.324097
0.058600	-0.313721
0.058650	-0.300598
0.058700	-0.288391
0.058750	-0.266113
