Zeitstempel: 18.9.2013 14:20:42
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.043881	0.369873
0.043942	0.386353
0.044003	0.444031
0.044064	0.358276
0.044125	0.359802
0.044186	0.332642
0.044247	0.320435
0.044308	0.357971
0.044369	0.380249
0.044430	0.381165
0.044491	0.361328
0.044552	0.314636
0.044612	0.339356
0.044673	0.342102
0.044734	0.343628
0.044795	0.346985
0.044856	0.366821
0.044917	0.388794
0.044978	0.385742
0.045039	0.353088
0.045100	0.332642
0.045161	0.353394
0.045222	0.393982
0.045283	0.390930
0.045344	0.409241
0.045405	0.387879
0.045466	0.397644
0.045527	0.396423
0.045587	0.393982
0.045648	0.363159
0.045709	0.375977
0.045770	0.394898
0.045831	0.393982
0.045892	0.379334
0.045953	0.311585
0.046014	0.380859
0.046075	0.382691
0.046136	0.363159
0.046197	0.383301
0.046258	0.320435
0.046319	0.366211
0.046380	0.365296
0.046441	0.336304
0.046502	0.388489
0.046562	0.399475
0.046623	0.398560
0.046684	0.346985
0.046745	0.366516
0.046806	0.390015
0.046867	0.379028
0.046928	0.378113
0.046989	0.397949
0.047050	0.374756
0.047111	0.335693
0.047172	0.330505
0.047233	0.327454
0.047294	0.377808
0.047355	0.321655
0.047416	0.375977
0.047477	0.374146
0.047538	0.372620
0.047598	0.370483
0.047659	0.380249
0.047720	0.421448
0.047781	0.421448
0.047842	0.317383
0.047903	0.379944
0.047964	0.344544
0.048025	0.346680
0.048086	0.335999
0.048147	0.360718
0.048208	0.365906
0.048269	0.300293
0.048330	0.299988
0.048391	0.353699
0.048452	0.278626
0.048513	0.314331
0.048573	0.314941
0.048634	0.282288
0.048695	0.265503
0.048756	0.291748
0.048817	0.246277
0.048878	0.249329
0.048939	0.229187
0.049000	0.214844
0.049061	0.235901
0.049122	0.220947
0.049183	0.220032
0.049244	0.180969
0.049305	0.157471
0.049366	0.074158
0.049427	0.075684
0.049488	0.213318
0.049548	0.182800
0.049609	0.195007
0.049670	0.159912
0.049731	0.161438
0.049792	0.155640
0.049853	0.125733
0.049914	0.173340
0.049975	0.173340
0.050036	0.157776
0.050097	0.153504
0.050158	0.130005
0.050219	0.128479
0.050280	0.128174
