Zeitstempel: 18.9.2013 14:14:57
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1500Hz
Richtung min<-max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.375442	-0.008850
0.375381	-0.035705
0.375320	-0.035705
0.375259	-0.025940
0.375198	-0.054016
0.375138	-0.026550
0.375077	-0.048218
0.375016	-0.046081
0.374955	-0.020752
0.374894	-0.044556
0.374833	-0.065308
0.374772	-0.064697
0.374711	-0.020752
0.374650	-0.058288
0.374589	-0.045776
0.374528	-0.012207
0.374467	-0.011902
0.374406	-0.023193
0.374345	-0.026245
0.374284	-0.006409
0.374223	-0.055542
0.374163	-0.039368
0.374102	-0.122375
0.374041	-0.035400
0.373980	-0.040283
0.373919	-0.039368
0.373858	-0.025635
0.373797	-0.022278
0.373736	-0.059509
0.373675	-0.059204
0.373614	-0.050354
0.373553	-0.022583
0.373492	-0.030212
0.373431	-0.027771
0.373370	-0.028381
0.373309	-0.026245
0.373248	-0.036926
0.373188	-0.009766
0.373127	-0.048218
0.373066	-0.027771
0.373005	-0.056152
0.372944	-0.042725
0.372883	-0.037231
0.372822	-0.035705
0.372761	-0.058899
0.372700	-0.096130
0.372639	-0.023193
0.372578	-0.050659
0.372517	-0.052490
0.372456	-0.046387
0.372395	-0.040893
0.372334	-0.051269
0.372273	-0.050354
0.372213	-0.083923
0.372152	-0.064697
0.372091	-0.054626
0.372030	-0.061951
0.371969	-0.061340
0.371908	-0.039368
0.371847	-0.047913
0.371786	-0.012817
0.371725	-0.012817
0.371664	-0.050659
0.371603	-0.091858
0.371542	-0.038452
0.371481	-0.058288
0.371420	-0.055237
0.371359	-0.037231
0.371298	-0.028076
0.371238	0.007019
0.371177	-0.065002
0.371116	-0.044556
0.371055	-0.035705
0.370994	-0.067139
0.370933	-0.026855
0.370872	-0.026550
0.370811	0.008240
0.370750	-0.079040
0.370689	-0.068664
0.370628	-0.057983
0.370567	-0.060120
0.370506	-0.074768
0.370445	-0.075378
0.370384	-0.072021
0.370323	-0.071106
0.370262	-0.083313
0.370202	-0.067749
0.370141	-0.037231
0.370080	-0.072021
0.370019	-0.070190
0.369958	-0.068664
0.369897	-0.055237
0.369836	-0.017700
0.369775	-0.018005
0.369714	-0.051880
0.369653	-0.091858
0.369592	-0.052795
0.369531	-0.054016
0.369470	-0.051269
0.369409	-0.057068
0.369348	-0.056763
0.369287	-0.077820
0.369227	-0.061951
0.369166	-0.069885
0.369105	-0.090027
0.369044	-0.044556
0.368983	-0.079346
0.368922	-0.078430
0.368861	-0.073852
0.368800	-0.070496
0.368739	-0.074463
0.368678	-0.058594
0.368617	-0.058594
0.368556	-0.070190
0.368495	-0.043640
0.368434	-0.077209
0.368373	-0.074768
0.368312	-0.062866
0.368252	-0.065613
0.368191	-0.085144
0.368130	-0.063476
0.368069	-0.062561
0.368008	-0.057983
0.367947	-0.101929
0.367886	-0.042725
0.367825	-0.040588
0.367764	-0.070190
0.367703	-0.070496
0.367642	-0.083923
0.367581	-0.078430
0.367520	-0.075989
0.367459	-0.065308
0.367398	-0.078735
0.367338	-0.093079
0.367277	-0.099182
0.367216	-0.097046
0.367155	-0.045471
0.367094	-0.046081
0.367033	-0.064697
0.366972	-0.061035
0.366911	-0.048523
0.366850	-0.088806
0.366789	-0.053711
0.366728	-0.065002
0.366667	-0.062256
0.366606	-0.084839
0.366545	-0.096741
0.366484	-0.060120
0.366423	-0.059204
0.366362	-0.032654
0.366302	-0.064087
0.366241	-0.044556
0.366180	-0.024414
0.366119	-0.022583
0.366058	-0.053406
0.365997	-0.024109
0.365936	-0.097656
0.365875	-0.072021
0.365814	-0.072021
0.365753	-0.066833
0.365692	-0.058899
0.365631	-0.065308
0.365570	-0.067749
0.365509	-0.086059
0.365448	-0.032043
0.365388	-0.094299
0.365327	-0.031738
0.365266	-0.031128
0.365205	-0.076294
0.365144	-0.077209
0.365083	-0.099487
0.365022	-0.097351
0.364961	-0.061951
0.364900	-0.069275
0.364839	-0.057373
0.364778	-0.061035
0.364717	-0.061035
0.364656	-0.104065
0.364595	-0.101623
0.364534	-0.090637
0.364473	-0.085754
0.364413	-0.088196
0.364352	-0.077820
0.364291	-0.089416
0.364230	-0.047302
0.364169	-0.046692
0.364108	-0.065613
0.364047	-0.055237
0.363986	-0.082397
0.363925	-0.089416
0.363864	-0.091553
0.363803	-0.098267
0.363742	-0.025635
0.363681	-0.072021
0.363620	-0.070496
0.363559	-0.061340
0.363498	-0.072632
0.363438	-0.059814
0.363377	-0.068664
0.363316	-0.068054
0.363255	-0.095215
0.363194	-0.101318
0.363133	-0.098572
0.363072	-0.096741
0.363011	-0.066833
0.362950	-0.069580
0.362889	-0.054626
0.362828	-0.064087
0.362767	-0.063782
0.362706	-0.064697
0.362645	-0.083313
0.362584	-0.123596
0.362523	-0.121155
0.362463	-0.080566
0.362402	-0.056152
0.362341	-0.080871
